0.000,0.000,1.937,0.000,23.469,0.000,63.881,0.000,89.287

lap,curlap_eval,alllaps_eval,curlap_localexpansion,alllaps_localexpansion,curlap_plan,alllaps_plan,curlap_total,alllaps_total
1.000,0.086,2.023,5.223,28.692,0.050,63.931,5.358,94.645

2.000,0.006,2.029,0.000,28.692,0.209,64.140,0.215,94.860

3.000,0.003,2.032,0.000,28.692,0.136,64.275,0.138,94.999

4.000,0.002,2.034,0.000,28.692,0.128,64.403,0.130,95.129

5.000,0.003,2.037,0.000,28.692,0.128,64.531,0.131,95.260

6.000,0.002,2.039,0.000,28.692,0.126,64.657,0.128,95.388

7.000,0.005,2.044,0.000,28.692,0.124,64.781,0.129,95.517

8.000,0.002,2.047,0.000,28.692,0.129,64.909,0.131,95.648

9.000,0.004,2.051,0.000,28.692,0.124,65.033,0.128,95.776

10.000,0.002,2.053,0.000,28.692,0.117,65.150,0.119,95.895

11.000,0.003,2.055,0.000,28.692,0.120,65.270,0.123,96.017

12.000,0.002,2.057,0.000,28.692,0.119,65.390,0.122,96.139

13.000,0.002,2.060,0.000,28.692,0.121,65.511,0.123,96.262

14.000,0.004,2.064,0.000,28.692,0.134,65.645,0.138,96.400

15.000,0.002,2.066,0.000,28.692,0.121,65.766,0.123,96.523

16.000,0.002,2.068,0.000,28.692,0.125,65.890,0.127,96.651

17.000,0.002,2.071,0.000,28.692,0.127,66.017,0.129,96.780

18.000,0.002,2.073,0.000,28.692,0.128,66.145,0.130,96.910

19.000,0.003,2.076,0.000,28.692,0.146,66.291,0.149,97.059

20.000,0.002,2.078,0.000,28.692,0.132,66.422,0.134,97.192

21.000,0.002,2.080,0.000,28.692,0.126,66.548,0.128,97.320

22.000,0.003,2.083,0.000,28.692,0.131,66.679,0.134,97.454

23.000,0.002,2.085,0.000,28.692,0.120,66.799,0.122,97.576

24.000,0.002,2.087,0.000,28.692,0.121,66.920,0.123,97.698

25.000,0.002,2.089,0.000,28.692,0.121,67.040,0.123,97.821

26.000,0.003,2.092,0.000,28.692,0.120,67.161,0.123,97.945

27.000,0.004,2.096,0.000,28.692,0.126,67.287,0.130,98.074

28.000,0.002,2.098,0.000,28.692,0.122,67.409,0.124,98.199

29.000,0.002,2.100,0.000,28.692,0.118,67.526,0.119,98.318

30.000,0.002,2.102,0.000,28.692,0.124,67.650,0.126,98.444

31.000,0.002,2.104,0.000,28.692,0.126,67.776,0.128,98.572

32.000,0.002,2.106,0.000,28.692,0.119,67.895,0.121,98.693

33.000,0.002,2.108,0.000,28.692,0.119,68.014,0.121,98.814

34.000,0.003,2.111,0.000,28.692,0.128,68.142,0.131,98.945

35.000,0.003,2.114,0.000,28.692,0.130,68.272,0.133,99.078

36.000,0.002,2.117,0.000,28.692,0.125,68.397,0.128,99.206

37.000,0.002,2.119,0.000,28.692,0.123,68.520,0.125,99.331

38.000,0.002,2.121,0.000,28.692,0.127,68.648,0.130,99.461

39.000,0.002,2.123,0.000,28.692,0.126,68.773,0.128,99.588

40.000,0.002,2.125,0.000,28.692,0.120,68.894,0.122,99.711

41.000,0.002,2.127,0.000,28.692,0.121,69.015,0.123,99.834

42.000,0.005,2.132,0.000,28.692,0.122,69.137,0.127,99.961

43.000,0.005,2.137,0.000,28.692,0.123,69.260,0.128,100.089

44.000,0.005,2.142,0.000,28.692,0.123,69.383,0.128,100.217

45.000,0.003,2.145,0.000,28.692,0.121,69.503,0.124,100.341

