0.000,0.000,46.833,0.000,8.000,0.000,54.833

lap,curlap_eval,alllaps_eval,curlap_plan,alllaps_plan,curlap_total,alllaps_total
1.000,0.000,46.833,0.002,8.002,0.002,54.836

2.000,0.113,46.946,0.068,8.070,0.180,55.016

3.000,0.114,47.060,0.027,8.098,0.141,55.157

4.000,0.110,47.170,0.026,8.124,0.137,55.294

5.000,0.112,47.282,0.027,8.151,0.139,55.433

6.000,0.101,47.383,0.019,8.169,0.120,55.553

7.000,0.113,47.497,0.019,8.188,0.132,55.685

8.000,0.092,47.588,0.009,8.197,0.101,55.785

9.000,0.098,47.686,0.009,8.206,0.107,55.892

10.000,0.091,47.777,0.009,8.215,0.100,55.992

11.000,0.091,47.868,0.009,8.224,0.099,56.091

12.000,0.101,47.969,0.009,8.233,0.110,56.201

13.000,0.100,48.069,0.019,8.251,0.119,56.320

14.000,0.109,48.178,0.019,8.270,0.128,56.448

15.000,0.101,48.279,0.018,8.288,0.119,56.568

16.000,0.098,48.377,0.026,8.315,0.124,56.691

17.000,0.108,48.485,0.018,8.333,0.126,56.818

18.000,0.121,48.606,0.026,8.359,0.148,56.965

19.000,0.116,48.723,0.026,8.385,0.143,57.108

20.000,0.121,48.843,0.027,8.412,0.147,57.255

21.000,0.103,48.947,0.026,8.438,0.129,57.385

22.000,0.102,49.048,0.019,8.457,0.121,57.505

23.000,0.101,49.150,0.019,8.476,0.120,57.625

24.000,0.100,49.250,0.019,8.494,0.119,57.744

25.000,0.101,49.351,0.019,8.513,0.120,57.864

26.000,0.100,49.452,0.017,8.530,0.118,57.981

27.000,0.103,49.554,0.019,8.549,0.121,58.103

28.000,0.102,49.656,0.019,8.568,0.121,58.224

29.000,0.090,49.746,0.019,8.587,0.109,58.333

30.000,0.093,49.839,0.009,8.596,0.102,58.435

31.000,0.101,49.941,0.018,8.614,0.119,58.554

32.000,0.101,50.041,0.019,8.632,0.119,58.674

33.000,0.102,50.143,0.019,8.651,0.120,58.794

